#Coverage (X)	Coverage
1.0	0.004365450872796828
2.0	0.004324942992923297
3.0	0.004258269736098441
4.0	0.004227032798425512
5.0	0.004132320594436578
6.0	0.004090132961962922
7.0	0.003992222767465137
8.0	0.003957432506993541
9.0	0.0038550968104686945
10.0	0.0038364580172611795
11.0	0.0037628073265807416
12.0	0.0037436193834849973
13.0	0.0036891566359003036
14.0	0.0036767200061120775
15.0	0.0035954781258169533
16.0	0.0035655333055188976
17.0	0.0034945960613299576
18.0	0.0034629714884459872
19.0	0.0033676778316333866
20.0	0.0033158639246835264
21.0	0.003227418489984757
22.0	0.0031924344119147463
23.0	0.003134838279677865
24.0	0.003107703814691831
25.0	0.0030579572955389267
26.0	0.003033697791721579
27.0	0.00298227151998276
28.0	0.0029523913055555795
29.0	0.002914306145768819
30.0	0.0028783529796641005
31.0	0.002828315734106468
32.0	0.0027947529851530817
33.0	0.002740387146374701
34.0	0.002713931043004436
35.0	0.0026624401653947416
36.0	0.0026119506787551927
37.0	0.002563754700460663
38.0	0.0025254111171904015
39.0	0.0024831588788458703
40.0	0.0024664259587723336
41.0	0.0024343814477418846
42.0	0.0024205880947079095
43.0	0.0023860239547843776
44.0	0.0023752993805317146
45.0	0.0023439655340524723
46.0	0.0023191245774114577
47.0	0.00229082720677809
48.0	0.0022699272081467825
49.0	0.002235427674094126
50.0	0.0022104575057113607
51.0	0.0021466915129906283
