#Read position (bp)	Clipping profile
0.0	10.378395352488615
1.0	2.5278693672476056
2.0	1.8213220285759144
3.0	1.1304757418747056
4.0	1.0519704820222955
5.0	0.8949599623174752
6.0	0.722248390642173
7.0	0.690846286701209
8.0	0.659444182760245
9.0	0.5966399748783168
10.0	0.5652378709373528
11.0	0.5652378709373528
12.0	0.5495368189668708
13.0	0.5338357669963888
14.0	0.5338357669963888
15.0	0.5024336630554247
16.0	0.5024336630554247
17.0	0.5024336630554247
18.0	0.5024336630554247
19.0	0.4553305071439786
20.0	0.31402103940964043
21.0	0.31402103940964043
22.0	0.31402103940964043
23.0	0.31402103940964043
24.0	0.2983199874391584
25.0	0.2669178834981944
26.0	0.2669178834981944
27.0	0.2669178834981944
28.0	0.2669178834981944
29.0	0.25121683152771235
30.0	0.25121683152771235
31.0	0.23551577955723035
32.0	0.23551577955723035
33.0	0.23551577955723035
34.0	0.23551577955723035
35.0	0.23551577955723035
36.0	0.23551577955723035
37.0	0.23551577955723035
38.0	0.23551577955723035
39.0	1.1461767938451877
40.0	0.23551577955723035
41.0	0.23551577955723035
42.0	0.23551577955723035
43.0	0.23551577955723035
44.0	0.25121683152771235
45.0	0.25121683152771235
46.0	0.25121683152771235
47.0	0.25121683152771235
48.0	0.2198147275867483
49.0	0.2198147275867483
50.0	0.17271157167530224
51.0	0.15701051970482022
52.0	0.17271157167530224
53.0	0.17271157167530224
54.0	0.17271157167530224
55.0	0.17271157167530224
56.0	0.17271157167530224
57.0	0.17271157167530224
58.0	0.18841262364578426
59.0	0.18841262364578426
60.0	2.936096718480138
61.0	1.1147746899042237
62.0	1.1147746899042237
63.0	0.20411367561626625
64.0	0.20411367561626625
65.0	0.20411367561626625
66.0	0.20411367561626625
67.0	0.20411367561626625
68.0	0.20411367561626625
69.0	0.20411367561626625
70.0	0.20411367561626625
71.0	0.18841262364578426
72.0	0.18841262364578426
73.0	0.18841262364578426
74.0	0.18841262364578426
75.0	0.18841262364578426
76.0	0.20411367561626625
77.0	0.18841262364578426
78.0	0.18841262364578426
79.0	0.18841262364578426
80.0	0.18841262364578426
81.0	0.20411367561626625
82.0	0.17271157167530224
83.0	0.17271157167530224
84.0	0.17271157167530224
85.0	0.17271157167530224
86.0	0.17271157167530224
87.0	0.18841262364578426
88.0	0.18841262364578426
89.0	0.18841262364578426
90.0	0.18841262364578426
91.0	0.18841262364578426
92.0	0.18841262364578426
93.0	0.18841262364578426
94.0	0.18841262364578426
95.0	0.18841262364578426
96.0	0.23551577955723035
97.0	0.2198147275867483
98.0	0.23551577955723035
99.0	0.23551577955723035
100.0	0.23551577955723035
101.0	0.23551577955723035
102.0	0.23551577955723035
