ID_REF,CDR017,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR025,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR021,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR029,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR022,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR018,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR026,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR030,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR031,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR023,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR027,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR019,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR020,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR028,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR032,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR024,Detection Pval,BEAD_STDERR,Avg_NBEADS
ILMN_2729008,267.4958,0,15.74855,31,208.9748,0,9.809257,48,245.402,0.001253133,10.5099,54,203.7357,0,10.89579,36,220.2546,0,10.13829,42,205.2067,0,9.760485,42,171.4182,0,9.090705,47,252.0428,0,15.96371,30,261.6985,0,15.76575,41,268.1288,0,14.14124,41,178.4695,0,18.18238,27,237.0184,0,16.56363,43,226.7491,0,13.91802,36,206.1876,0,9.604393,40,183.0506,0.001253133,8.311666,31,188.1152,0.001253133,15.83177,39
ILMN_1234456,139.4761,0.03759398,11.37206,32,169.3335,0.006265664,12.87004,36,139.1482,0.04135338,5.947541,32,115.2954,0.04636591,5.77938,31,116.7417,0.06766918,6.705731,37,144.9835,0.01629073,9.015169,37,121.7174,0.01378446,8.161792,40,141.311,0.01503759,9.682908,42,132.8146,0.03634085,10.41815,26,132.7863,0.07017544,5.194081,39,128.813,0.00877193,9.415459,41,127.3261,0.06140351,11.19185,42,112.5943,0.03132832,6.440681,29,110.3558,0.0651629,8.52196,42,102.8667,0.09398496,8.082445,31,100.7397,0.122807,5.838628,40
ILMN_1256281,204.2063,0,10.95529,37,184.9321,0.001253133,11.38202,47,196.0142,0.003759399,13.21847,35,161.3467,0.003759399,9.095311,52,156.3492,0.00877193,9.941712,43,184.3653,0.001253133,10.16276,40,133.4473,0.003759399,9.387319,41,172.3699,0.002506266,8.482881,48,211.5943,0.001253133,12.09089,57,183.9768,0.007518797,7.984452,57,156.3687,0.001253133,11.57704,31,185.8152,0.005012531,9.671082,44,145.7171,0.003759399,9.697262,38,148.8212,0.003759399,11.34792,43,139.367,0.00877193,6.087674,52,142.928,0.01253133,7.186358,46
ILMN_2611352,1589.032,0,42.40472,38,1389.588,0,50.07342,30,1854.208,0,51.68552,38,1397.7,0,53.14548,33,1556.971,0,58.484,37,1461.031,0,47.31709,37,948.0891,0,31.20098,48,1480.787,0,48.16662,47,1880.336,0,61.36676,38,2231.737,0,83.61646,34,1202.642,0,38.84589,39,1571.491,0,54.33348,44,1193.746,0,37.13013,46,1230.697,0,70.22401,36,1339.081,0,38.26576,43,1313.06,0,46.82643,46
ILMN_2622630,1025.656,0,48.18916,31,1038.809,0,50.12183,33,1106.866,0,44.77654,34,831.8492,0,44.27055,25,1090.912,0,50.97165,35,1029.481,0,57.40815,31,714.8354,0,30.45866,36,1065.502,0,43.59151,29,1065.276,0,40.62874,32,1280.618,0,60.5492,20,723.868,0,32.9483,29,1132.356,0,56.45546,34,772.5123,0,37.55142,44,786.694,0,37.16142,39,782.738,0,33.43383,47,842.3269,0,47.25643,29
ILMN_2717539,71.5859,0.7255639,5.019894,31,48.38803,1,2.232845,24,61.99271,0.9674186,3.396699,32,55.8847,0.9511278,3.714416,36,60.80242,0.9085213,2.991875,39,51.87018,0.9974937,3.299561,31,57.77183,0.8533835,4.272995,33,58.21723,0.9636592,3.322197,36,62.99437,0.9461153,3.297179,34,65.79458,0.9686717,4.057855,40,59.87373,0.9010025,5.164507,42,75.6367,0.6303258,6.662844,32,65.98119,0.6904762,4.274711,27,68.53282,0.6215539,6.752731,31,59.17847,0.9448621,3.474545,38,59.23495,0.943609,4.504872,29
ILMN_2596016,2226.433,0,53.17223,42,1918.161,0,68.75189,41,2418.687,0,70.67248,43,1869.763,0,39.70738,54,1810.867,0,58.50475,42,2023.439,0,65.73165,42,1274.084,0,57.35363,39,2129.314,0,71.40186,50,2308.361,0,85.71606,37,2410.728,0,128.6327,46,1728.11,0,50.93311,55,1980.264,0,98.12195,61,1381.754,0,47.86596,47,1659.132,0,61.21406,57,1691.125,0,52.53056,42,1909.784,0,81.87826,35
ILMN_1245913,93.98482,0.2769423,4.929065,38,76.35477,0.4573935,4.946534,30,89.93484,0.3095238,6.024205,37,84.16251,0.2380952,5.73078,39,87.06174,0.2694235,5.029128,36,95.06703,0.1942356,6.112082,37,85.70057,0.1303258,5.328963,47,93.21595,0.1829574,5.374604,42,89.81754,0.2869674,4.745451,32,115.0237,0.1528822,8.589438,39,87.61588,0.1704261,8.913246,26,95.20152,0.2706767,5.282344,47,91.55851,0.1378446,4.315938,41,95.32971,0.1177945,6.022781,39,86.91242,0.2493734,4.418368,34,80.67636,0.3308271,5.164109,39
ILMN_3041584,148.6671,0.02506266,13.07873,32,147.1863,0.01503759,12.70951,40,134.9837,0.04887218,10.78659,21,113.7962,0.04887218,9.691695,30,122.2155,0.05137845,8.63957,32,124.9127,0.04761905,7.786841,35,111.5085,0.02506266,7.047279,34,125.0612,0.04010025,6.358519,36,125.9422,0.05513784,11.28422,26,135.1275,0.06641604,10.45701,37,102.0067,0.0764411,7.905725,44,128.6954,0.05764411,8.592751,35,100.4759,0.0802005,7.501924,27,91.68335,0.1516291,5.623352,38,111.2619,0.06265664,7.098787,38,118.261,0.04385965,9.135269,41
ILMN_2669540,4280.154,0,110.4777,45,3519.951,0,82.92928,49,4587.596,0,117.0404,39,3150.624,0,63.39808,55,4761.589,0,111.1376,43,4135.862,0,68.07323,48,2559.607,0,71.30409,44,3596.522,0,84.80746,55,4132.59,0,106.5195,53,5197.666,0,90.94347,31,3074.203,0,67.17448,37,3809.569,0,105.7727,33,2949.565,0,62.48658,47,2938.094,0,88.54754,37,2943.508,0,74.00394,40,3340.323,0,73.60078,49
